23 Sektor;Nama Perusahaan;Deskripsi KBLI;Kabkot;Tambahan Investasi (US$);Negara;Proyek;TKI;TKA;
Industri Kimia Dan Farmasi;LOUYANG BIOENERGY TECHNOLOGY;(20115) Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian;Kabupaten Kubu Raya;0;R.R. Tiongkok;1;0;0;TW 1
Pertambangan;SATRIA PRATAMA MANDIRI;(07301) Pertambangan Emas Dan Perak;Kabupaten Sanggau;0;Hongkong, RRT;1;0;0;TW 1
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;BORNEO ALUMINDO PRIMA;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kota Pontianak;0;Hongkong, RRT;1;0;0;TW 1
Pertambangan;BORNEO KUTA SILICA;(08995) Penggalian Kuarsa/Pasir Kuarsa;Kabupaten Ketapang;0;Hongkong, RRT;1;0;0;TW 1
Industri Makanan;LOUYANG BIOENERGY TECHNOLOGY;(10802) Industri Konsentrat Makanan Hewan;Kabupaten Kubu Raya;0;R.R. Tiongkok;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;CITRANUSA INTISAWIT;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;47.380,23;Kepulauan Virgin Inggris;1;0;0;TW 2
Industri Makanan;CITRANUSA INTISAWIT;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;28.927,07;Kepulauan Virgin Inggris;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;KEBUN GANDA PRIMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;29.875,00;Malaysia;1;20;0;TW 2
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;WELL HARVEST WINNING ALUMINA REFINERY;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Makanan;KEBUN GANDA PRIMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;315.812,50;Malaysia;1;0;0;TW 2
Perdagangan dan Reparasi;MEGA JAYA NET;(46637) Perdagangan Besar Cat;Kabupaten Kubu Raya;0,00;Singapura;1;0;0;TW 2
Industri Karet dan Plastik;GUANGKEN RUBBER PONTIANAK-INDONESIA;(22192) Industri Barang Dari Karet Untuk Keperluan Industri;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Pertambangan;SETIA MINERALS RESOURCES;(07301) Pertambangan Emas Dan Perak;Kabupaten Sanggau;0,00;Samoa Barat;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;CEMARU LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Landak;7.509,46;Singapura;1;4;0;TW 2
Pertambangan;SILIKA PRIMA ABADI;(08995) Penggalian Kuarsa/Pasir Kuarsa;Kabupaten Ketapang;0,00;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;TKM BIOFUEL INDONESIA;(01191) Pertanian Tanaman Pakan Ternak;Kabupaten Kapuas Hulu;28.533,91;Jepang;1;1;0;TW 2
Jasa Lainnya;IKHASAS INDO MAKMUR;(70209) Aktivitas Konsultasi Manajemen Lainnya;Kota Pontianak;9.548.812,50;Malaysia;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;MAKMUR JAYA MALINDO;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;88.464,47;Malaysia;1;0;0;TW 2
Jasa Lainnya;CONCH WEST KALIMANTAN CEMENT TRADE;(82920) Aktivitas Pengepakan;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Transportasi, Gudang dan Telekomunikasi;NIPSEA PAINT AND CHEMICALS;(52101) Pergudangan dan Penyimpanan;Kabupaten Kubu Raya;17.988,66;Hongkong, RRT;1;0;0;TW 2
Industri Kayu;INDONESIA SHENGEN INDUSTRIAL WOOD;(16101) Industri Penggergajian Kayu;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kayu;INDONESIA SHENGEN INDUSTRIAL WOOD;(16212) Industri Kayu Lapis Laminasi, Termasuk Decorative Plywood;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Perdagangan dan Reparasi;SUNRISE MALINDO SENTOSA;(46315) Perdagangan Besar Minyak dan Lemak Nabati;Kabupaten Ketapang;0,00;Malaysia;1;0;0;TW 2
Perumahan, Kawasan Industri dan Perkantoran;KETAPANG ECOLOGY AND AGRICULTURE FORESTRY INDUSTRIAL PARK;(68130) Kawasan Industri;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kayu;KETAPANG ECOLOGY AND AGRICULTURE FORESTRY INDUSTRIAL PARK;(16101) Industri Penggergajian Kayu;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Makanan;FAICHEUNG BIRDNEST INDUSTRY;(10750) Industri Makanan dan Masakan Olahan;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Makanan;SUNRISE MALINDO SENTOSA;(10433) Industri Pemisahan/Fraksinasi Minyak Mentah Kelapa Sawit dan Minyak Mentah Inti Kelapa Sawit;Kabupaten Ketapang;0,00;Malaysia;1;0;0;TW 2
Hotel dan Restoran;KETAPANG ECOLOGY AND AGRICULTURE FORESTRY INDUSTRIAL PARK;(55110) Hotel Bintang;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Jasa Lainnya;KETAPANG ECOLOGY AND AGRICULTURE FORESTRY INDUSTRIAL PARK;(93211) Taman Rekreasi;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Jasa Lainnya;KETAPANG ECOLOGY AND AGRICULTURE FORESTRY INDUSTRIAL PARK;(93239) Daya Tarik Wisata Buatan/Binaan Manusia Lainnya;Kabupaten Ketapang;0,00;R.R. Tiongkok;1;0;0;TW 2
Pertambangan;SATRIA PRATAMA MANDIRI;(07301) Pertambangan Emas Dan Perak;Kabupaten Sanggau;0,00;Hongkong, RRT;1;0;0;TW 2
Hotel dan Restoran;SRIBOGA MARUGAME INDONESIA;(56101) Restoran;Kota Pontianak;184,41;Amerika Serikat;1;0;0;TW 2
Hotel dan Restoran;SRIBOGA MARUGAME INDONESIA;(56101) Restoran;Kabupaten Kubu Raya;592,75;Amerika Serikat;1;0;0;TW 2
Jasa Lainnya;CINEMAXX GLOBAL PASIFIK;(59140) Aktivitas Pemutaran Film;Kabupaten Ketapang;127.578,91;Belanda;1;11;0;TW 2
Transportasi, Gudang dan Telekomunikasi;TELEKOMUNIKASI SELULAR;(61200) Aktivitas Telekomunikasi Tanpa Kabel;Kota Pontianak;936.272,84;Singapura;1;0;0;TW 2
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;SUPREME ALUMINA INDONESIA;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Ketapang;37.887,67;Singapura;1;0;0;TW 2
Jasa Lainnya;INTERTEKNIS SURYATERANG;(80100) Aktivitas Keamanan Swasta;Kota Pontianak;0,00;Amerika Serikat;1;0;0;TW 2
Perdagangan dan Reparasi;BORNEO AQUA INTERNATIONAL;(46206) Perdagangan Besar Hasil Perikanan;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Makanan;BORNEO AQUA INTERNATIONAL;(10297) Industri Pendinginan/Pengesan Biota Air Lainnya;Kabupaten Bengkayang;0,00;R.R. Tiongkok;1;0;0;TW 2
Kehutanan;FAJAR WANA LESTARI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Sambas;0,00;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;SAWIT MITRA ABADI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;973.917,88;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;SURYA AGRO PALMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;318.531,14;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;BORNEO KETAPANG PERMAI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;35.913,30;Singapura;1;10;0;TW 2
Industri Makanan;BORNEO KETAPANG PERMAI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;0,00;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;CITRA SAWIT CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;654.285,17;Singapura;1;230;0;TW 2
Industri Makanan;CITRA SAWIT CEMERLANG;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;0,00;Singapura;1;0;0;TW 2
Perdagangan dan Reparasi;JINQUAN TRAD INDONESIA;(46315) Perdagangan Besar Minyak dan Lemak Nabati;Kota Pontianak;5.000,00;R.R. Tiongkok;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO ABADI CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;141.967,77;Singapura;1;54;0;TW 2
Industri Makanan;AGRO ABADI CEMERLANG;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;55.481,32;Singapura;1;4;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO ABADI CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;0,00;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;PALMA AGRO LESTARI JAYA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;1.060.834,47;Singapura;1;7;0;TW 2
Hotel dan Restoran;PANCA BOGA PARAMITA;(56101) Restoran;Kota Pontianak;13.937,50;Hongkong, RRT;1;0;0;TW 2
Perdagangan dan Reparasi;LIFA JAYA FOOD;(46339) Perdagangan Besar Makanan Dan Minuman Lainnya;Kota Singkawang;199.423,37;R.R. Tiongkok;1;0;0;TW 2
Transportasi, Gudang dan Telekomunikasi;KHATULISTIWA RAYA CAKRAWALA;(52101) Pergudangan dan Penyimpanan;Kabupaten Mempawah;71.862,52;Singapura;1;12;0;TW 2
Perdagangan dan Reparasi;FAST RETAILING INDONESIA;(47191) Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Bukan Makanan, Minuman Atau Tembakau Di Toserba (Department Store);Kabupaten Kubu Raya;0,00;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;SEPANJANG INTISURYA MULIA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1.129.488,09;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;SEPANJANG INTISURYA MULIA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;0,00;Singapura;1;0;0;TW 2
Hotel dan Restoran;FORE KOPI INDONESIA;(56303) Rumah Minum/Kafe;Kabupaten Kubu Raya;0,00;Singapura;1;0;0;TW 2
Industri Makanan;ADILMART;(10120) Kegiatan Rumah Potong Dan Pengepakan Daging Unggas;Kabupaten Kubu Raya;0,00;Malaysia;1;0;0;TW 2
Kehutanan;FITRIA GREEN TECH;(02119) Pemanfaatan kayu hutan tanaman lainnya;Kabupaten Ketapang;0,00;Korea Selatan;1;0;0;TW 2
Industri Makanan;ADILMART;(10130) Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas;Kabupaten Kubu Raya;2.462,16;Malaysia;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;RIMBA BORNEO MAKMUR;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Landak;106.250,00;Malaysia;1;0;0;TW 2
Industri Makanan;SEPANJANG INTISURYA MULIA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;110.696,81;Singapura;1;5;0;TW 2
Industri Makanan;MITRA KARYA SENTOSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;2.579.003,55;Singapura;1;10;0;TW 2
Pertambangan;AGRABUDI GASUTAMA PRIMA;(07293) Pertambangan Bijih Bauksit;Kabupaten Landak;8.692,05;Selandia Baru;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;MITRA KARYA SENTOSA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;137.429,08;Singapura;1;69;0;TW 2
Kehutanan;TORAS BANUA SUKSES;(02121) Pemanfaatan Kayu Hutan Alam;Kabupaten Kapuas Hulu;0,00;Malaysia;1;0;0;TW 2
Pertambangan;FORTUNA JAYA MAKMUR;(07293) Pertambangan Bijih Bauksit;Kabupaten Landak;11.814,80;Hongkong, RRT;1;0;0;TW 2
Pertambangan;KINDAI MANDIRI SEJAHTERA;(07293) Pertambangan Bijih Bauksit;Kabupaten Landak;4.169,73;Hongkong, RRT;1;0;0;TW 2
Pertambangan;MELIAU RATU ABADI;(07293) Pertambangan Bijih Bauksit;Kabupaten Ketapang;7.183,82;Hongkong, RRT;1;0;0;TW 2
Pertambangan;TAYAN ALUMINA ABADI;(07293) Pertambangan Bijih Bauksit;Kabupaten Ketapang;28.432,42;Hongkong, RRT;1;0;0;TW 2
Pertambangan;TAMINDO MUTIARAPERKASA;(07293) Pertambangan Bijih Bauksit;Kabupaten Landak;21.104,31;Hongkong, RRT;1;0;0;TW 2
Industri Makanan;PUTRA SARI LESTARI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;0,00;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;PUTRA SARI LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;57.219,50;Singapura;1;1;0;TW 2
Hotel dan Restoran;PANCA BOGA PARAMITA;(56101) Restoran;Kabupaten Kubu Raya;8.625,00;Hongkong, RRT;1;0;0;TW 2
Industri Mineral Non Logam;SEMEN KALBAR PERKASA;(23941) Industri Semen;Kabupaten Ketapang;21.430,54;R.R. Tiongkok;1;0;0;TW 2
Industri Kimia Dan Farmasi;BORNEO COKE RESOURCE;(19100) Industri produk dari batu bara;Kabupaten Ketapang;4,11;Kepulauan Virgin Inggris;1;0;0;TW 2
Listrik, Gas dan Air;BORNEO COKE RESOURCE;(35111) Pembangkitan Tenaga Listrik;Kabupaten Ketapang;1,13;Kepulauan Virgin Inggris;1;0;0;TW 2
Listrik, Gas dan Air;BORNEO COKE RESOURCE;(35301) Pengadaan Uap/Air Panas Dan Udara Dingin;Kabupaten Ketapang;0,39;Kepulauan Virgin Inggris;1;0;0;TW 2
Hotel dan Restoran;PANCA BOGA PARAMITA;(56101) Restoran;Kabupaten Kubu Raya;14.437,50;Hongkong, RRT;1;0;0;TW 2
Hotel dan Restoran;PANCA BOGA PARAMITA;(56101) Restoran;Kota Singkawang;11.562,50;Hongkong, RRT;1;0;0;TW 2
Hotel dan Restoran;PANCA BOGA PARAMITA;(56101) Restoran;Kota Singkawang;12.062,50;Hongkong, RRT;1;0;0;TW 2
Jasa Lainnya;BATU PAYUNG INDAH;(93211) Taman Rekreasi;Kabupaten Bengkayang;0,00;Singapura;1;0;0;TW 2
Industri Makanan;MITRA KARYA SENTOSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;0,00;Singapura;1;0;0;TW 2
Industri Makanan;MITRA KARYA SENTOSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;0,00;Singapura;1;0;0;TW 2
Transportasi, Gudang dan Telekomunikasi;MITRA KARYA SENTOSA;(52221) Aktivitas Pelayanan Kepelabuhanan Laut;Kabupaten Kayong Utara;0,00;Singapura;1;0;0;TW 2
Transportasi, Gudang dan Telekomunikasi;MITRA KARYA SENTOSA;(52221) Aktivitas Pelayanan Kepelabuhanan Laut;Kabupaten Kayong Utara;0,00;Singapura;1;0;0;TW 2
Industri Makanan;MITRA KARYA SENTOSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;0,00;Singapura;1;0;0;TW 2
Transportasi, Gudang dan Telekomunikasi;MITRA KARYA SENTOSA;(52221) Aktivitas Pelayanan Kepelabuhanan Laut;Kabupaten Sanggau;0,00;Singapura;1;0;0;TW 2
Hotel dan Restoran;BUMI BERKAH BOGA;(56303) Rumah Minum/Kafe;Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Hotel dan Restoran;JOSH & TASANI LESTARI;(56101) Restoran;Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Hotel dan Restoran;JOSH & TASANI LESTARI;(56101) Restoran;Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Hotel dan Restoran;JOSH & TASANI LESTARI;(56210) Jasa Boga Untuk Suatu Event Tertentu (Event Catering);Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Jasa Lainnya;JOSH & TASANI LESTARI;(96122) Aktivitas SPA (Sante Par Aqua);Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Jasa Lainnya;JOSH & TASANI LESTARI;(96122) Aktivitas SPA (Sante Par Aqua);Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Hotel dan Restoran;BUMI BERKAH BOGA;(56303) Rumah Minum/Kafe;Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Industri Mineral Non Logam;PANCA NAGA INDAH;(23990) Industri Barang Galian Bukan Logam Lainnya Ytdl;Kabupaten Kubu Raya;28.125,00;R.R. Tiongkok;1;0;0;TW 2
Transportasi, Gudang dan Telekomunikasi;PANCA NAGA INDAH;(52101) Pergudangan dan Penyimpanan;Kabupaten Kubu Raya;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;PANCA NAGA INDAH;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Kubu Raya;0,00;R.R. Tiongkok;1;0;0;TW 2
Perdagangan dan Reparasi;PANCA NAGA INDAH;(46641) Perdagangan Besar Mineral Bukan Logam;Kabupaten Kubu Raya;0,00;R.R. Tiongkok;1;0;0;TW 2
Perdagangan dan Reparasi;KIMIA FARMA APOTEK;(47721) Perdagangan Eceran Barang Dan Obat Farmasi Untuk Manusia Di Apotik;Kota Pontianak;0,00;Hongkong, RRT;1;0;0;TW 2
Perdagangan dan Reparasi;KIMIA FARMA APOTEK;(47721) Perdagangan Eceran Barang Dan Obat Farmasi Untuk Manusia Di Apotik;Kota Pontianak;0,00;Hongkong, RRT;1;0;0;TW 2
Industri Makanan;NEW FUTURE FOOD INDONESIA;(10773) Industri Produk Masak Dari Kelapa;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Perdagangan dan Reparasi;NEW FUTURE FOOD INDONESIA;(46202) Perdagangan Besar Buah Yang Mengandung Minyak;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Makanan;NEW FUTURE FOOD INDONESIA;(11090) Industri Minuman Lainnya;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Lainnya;NEW FUTURE FOOD INDONESIA;(32905) Industri Serat Sabut Kelapa;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Makanan;NEW FUTURE FOOD INDONESIA;(10423) Industri Minyak Goreng Kelapa;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Perdagangan dan Reparasi;NEW FUTURE FOOD INDONESIA;(46530) Perdagangan Besar Mesin, Peralatan Dan Perlengkapan Pertanian;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Perdagangan dan Reparasi;NEW FUTURE FOOD INDONESIA;(46591) Perdagangan Besar Mesin Kantor dan Industri Pengolahan, Suku Cadang Dan Perlengkapannya;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Makanan;NEW FUTURE FOOD INDONESIA;(10722) Industri Gula Merah;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Makanan;NEW FUTURE FOOD INDONESIA;(11040) Industri Minuman Ringan;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Perdagangan dan Reparasi;NEW FUTURE FOOD INDONESIA;(46334) Perdagangan Besar Minuman Non Alkohol Bukan Susu;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kimia Dan Farmasi;NEW FUTURE FOOD INDONESIA;(20115) Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;FALCON AGRI PERSADA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;845.390,49;Singapura;1;89;0;TW 2
Industri Makanan;FALCON AGRI PERSADA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;0,00;Singapura;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;FALCON AGRI PERSADA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;0,00;Singapura;1;0;0;TW 2
Jasa Lainnya;GREEN GLOBAL LESTARI;(77395) Aktivitas Penyewaan dan Sewa Guna Tanpa Hak Opsi Mesin Pertambangan dan Energi serta Peralatannya;Kabupaten Sekadau;0,00;Korea Selatan;1;0;0;TW 2
Perumahan, Kawasan Industri dan Perkantoran;FITRIA;(68110) Real Estate yang Dimiliki Sendiri Atau Disewa (v2015);Kabupaten Ketapang;4.329,98;Korea Selatan;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;PRAKARSA TANI SEJATI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;5.923,96;Singapura;1;16;0;TW 2
Jasa Lainnya;GREEN GLOBAL LESTARI;(77395) Aktivitas Penyewaan dan Sewa Guna Tanpa Hak Opsi Mesin Pertambangan dan Energi serta Peralatannya;Kabupaten Sekadau;0,00;Korea Selatan;1;0;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;PRAKARSA TANI SEJATI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1.106.576,04;Singapura;1;0;2;TW 2
Pertambangan;TRANSON DAYA INDOMINING;(08999) Pertambangan Dan Penggalian Lainnya Ytdl;Kota Pontianak;3.432,18;R.R. Tiongkok;1;0;0;TW 2
Transportasi, Gudang dan Telekomunikasi;CHINA TELECOM INDONESIA;(61100) Aktivitas Telekomunikasi Dengan Kabel;Kabupaten Mempawah;0,00;Hongkong, RRT;1;0;0;TW 2
Transportasi, Gudang dan Telekomunikasi;CHINA TELECOM INDONESIA;(61921) Internet Service Provider;Kabupaten Mempawah;125.000,00;Hongkong, RRT;1;9;11;TW 2
Hotel dan Restoran;JOSH & TASANI LESTARI;(56210) Jasa Boga Untuk Suatu Event Tertentu (Event Catering);Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Hotel dan Restoran;JOSH & TASANI LESTARI;(56101) Restoran;Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Konstruksi;TELEKOMUNIKASI SELULAR;(42206) Konstruksi Sentral Telekomunikasi;Kabupaten Kapuas Hulu;0,00;Singapura;1;0;0;TW 2
Industri Makanan;LIMPAH SEJAHTERA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;52.788,32;Singapura;1;4;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;LIMPAH SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;362.948,74;Singapura;1;105;0;TW 2
Tanaman Pangan, Perkebunan, dan Peternakan;GRAND UTAMA MANDIRI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sekadau;817.026,45;Korea Selatan;1;2;0;TW 2
Hotel dan Restoran;MOUNT SCOPUS INDONESIA;(56101) Restoran;Kota Pontianak;0,00;Hongkong, RRT;1;0;0;TW 2
Jasa Lainnya;G4S SECURITY SERVICES;(80100) Aktivitas Keamanan Swasta;Kabupaten Kubu Raya;0,00;Belanda;1;0;0;TW 2
Jasa Lainnya;NUSA BINA ENERGY;(70209) Aktivitas Konsultasi Manajemen Lainnya;Kota Pontianak;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Lainnya;NUSA BINA ENERGY;(38211) Treatment dan Pembuangan Limbah dan Sampah Tidak Berbahaya;Kota Pontianak;0,00;R.R. Tiongkok;1;0;0;TW 2
Jasa Lainnya;G4S SECURITY SERVICES;(80100) Aktivitas Keamanan Swasta;Kabupaten Kubu Raya;0,00;Belanda;1;0;0;TW 2
Jasa Lainnya;G4S SECURITY SERVICES;(80100) Aktivitas Keamanan Swasta;Kota Pontianak;0,00;Belanda;1;0;0;TW 2
Industri Kayu;LANDAK TIMBER PRODUCT;(16101) Industri Penggergajian Kayu;Kabupaten Sintang;0,00;R.R. Tiongkok;1;1;0;TW 2
Hotel dan Restoran;JOSH & TASANI LESTARI;(55110) Hotel Bintang;Kota Pontianak;0,00;Singapura;1;0;0;TW 2
Industri Kayu;LANDAK TIMBER PRODUCT;(16221) Industri Barang Bangunan Dari Kayu;Kabupaten Sintang;0,00;R.R. Tiongkok;1;1;0;TW 2
Industri Kayu;LANDAK TIMBER PRODUCT;(16105) Industri Partikel Kayu dan Sejenisnya;Kabupaten Sintang;36.123,42;R.R. Tiongkok;1;1;0;TW 2
Industri Lainnya;RIMBA KELAPA MAKMUR;(32905) Industri Serat Sabut Kelapa;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kayu;RIMBA KELAPA MAKMUR;(16101) Industri Penggergajian Kayu;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kayu;RIMBA KELAPA MAKMUR;(16102) Industri Pengawetan Kayu;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kayu;RIMBA KELAPA MAKMUR;(16213) Industri Panel Kayu Lainnya;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kayu;RIMBA KELAPA MAKMUR;(16214) Industri Veneer;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kayu;RIMBA KELAPA MAKMUR;(16215) Industri Kayu Laminasi;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Pertambangan;PUSAKA JAMAN RAJA;(07293) Pertambangan Bijih Bauksit;Kabupaten Ketapang;607.378,33;Hongkong, RRT;1;8;0;TW 2
Industri Kayu;RIMBA KELAPA MAKMUR;(16230) Industri Wadah Dari Kayu;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Lainnya;RIMBA KELAPA MAKMUR;(31001) Industri Furnitur Dari Kayu;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Perdagangan dan Reparasi;RIMBA KELAPA MAKMUR;(47526) Perdagangan Eceran Bahan Konstruksi Dari Kayu;Kabupaten Mempawah;0,00;R.R. Tiongkok;1;0;0;TW 2
Industri Kimia Dan Farmasi;RIMBA KELAPA MAKMUR;(20115) Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian;Kabupaten Mempawah;86.039,35;R.R. Tiongkok;1;0;0;TW 2
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;KARIMATA ALUMIN INDUSTRI;(24204) Industri Ekstrusi Logam Bukan Besi;Kabupaten Ketapang;9,36;Singapura;1;0;0;TW 2
